"","datetime","average","minimum","maximum","area"
"1","2014-01",NA,NA,NA,"aakkula"
"2","2014-02",1.215,1.074,1.37,"aakkula"
"3","2014-03",2.123,1.109,5.95,"aakkula"
"4","2014-04",4.359,3.518,6.047,"aakkula"
"5","2014-05",8.807,5.367,15.002,"aakkula"
"6","2014-06",13.412,10.705,16.921,"aakkula"
"7","2014-07",18.161,13.655,23.795,"aakkula"
"8","2014-08",18.668,15.849,23.415,"aakkula"
"9","2014-09",15.693,15.583,15.85,"aakkula"
"10","2014-10",9.161,5.359,11.395,"aakkula"
"11","2014-11",4.234,2.705,6.188,"aakkula"
"12","2014-12",1.76,1.033,2.82,"aakkula"
"13","2015-01",1.193,1.088,2.506,"aakkula"
"14","2015-02",1.16,1.114,1.237,"aakkula"
"15","2015-03",2.002,1.102,3.12,"aakkula"
"16","2015-04",3.774,2.858,5.41,"aakkula"
"17","2015-05",8.166,5.534,11.731,"aakkula"
"18","2015-06",12.865,11.302,15.611,"aakkula"
"19","2015-07",16.871,14.181,18.16,"aakkula"
"20","2015-08",18.066,16.583,20.514,"aakkula"
"21","2015-09",15.393,13,17.921,"aakkula"
"22","2015-10",9.487,6.638,13.262,"aakkula"
"23","2015-11",5.758,3.895,6.919,"aakkula"
"24","2015-12",3.063,1.168,4.014,"aakkula"
"25","2016-01",1.151,1.002,1.315,"aakkula"
"26","2016-02",1.114,1,1.403,"aakkula"
"27","2016-03",1.287,1.057,1.983,"aakkula"
"28","2016-04",3.587,1.981,5.685,"aakkula"
"29","2016-05",9.76,5.005,14.566,"aakkula"
"30","2016-06",13.512,7.653,17.738,"aakkula"
"31","2016-07",17.419,14.229,19.946,"aakkula"
"32","2016-08",17.292,13.42,20.486,"aakkula"
"33","2016-09",14.429,10.93,15.922,"aakkula"
"34","2016-10",8.388,5.509,12.712,"aakkula"
"35","2016-11",2.362,1.061,5.692,"aakkula"
"36","2016-12",1.251,1.111,1.453,"aakkula"
"37","2017-01",1.313,1.076,3.04,"aakkula"
"38","2017-02",1.434,1.161,1.747,"aakkula"
"39","2017-03",2.559,1.605,3.984,"aakkula"
"40","2017-04",4.143,3.773,5.198,"aakkula"
"41","2017-05",7.401,4.139,11.707,"aakkula"
"42","2017-06",12.431,8.152,15.918,"aakkula"
"43","2017-07",16.511,14.178,18.875,"aakkula"
"44","2017-08",17.55,15.343,18.86,"aakkula"
"45","2017-09",13.691,9.651,15.52,"aakkula"
"46","2017-10",9.017,5.642,12.213,"aakkula"
"47","2017-11",3.867,2.56,5.762,"aakkula"
"48","2017-12",1.499,1.002,3.239,"aakkula"
"49","2018-01",1.138,1.014,2.218,"aakkula"
"50","2018-02",2.309,1,7.021,"aakkula"
"51","2018-03",2.275,1,7.035,"aakkula"
"52","2018-04",2.175,1.062,5.836,"aakkula"
"53","2018-05",7.346,3.519,14.049,"aakkula"
"54","2018-06",12.669,7.103,17.211,"aakkula"
"55","2018-07",18.304,13.288,24.996,"aakkula"
"56","2018-08",19.111,16.135,24.962,"aakkula"
"57","2018-09",15.178,10.502,18.185,"aakkula"
"58","2018-10",8.935,5.301,10.653,"aakkula"
"59","2018-11",4.99,2.358,6.135,"aakkula"
"60","2018-12",1.208,1.034,2.345,"aakkula"
"61","2019-01",1.161,1.023,1.335,"aakkula"
"62","2019-02",1.285,1.059,3.717,"aakkula"
"63","2019-03",1.927,1.459,2.787,"aakkula"
"64","2019-04",4.156,2.73,7.023,"aakkula"
"65","2019-05",8.814,5.224,14.882,"aakkula"
"66","2019-06",14.646,10.524,17.418,"aakkula"
"67","2019-07",NA,NA,NA,"aakkula"
"68","2019-08",NA,NA,NA,"aakkula"
"69","2019-09",NA,NA,NA,"aakkula"
"70","2019-10",NA,NA,NA,"aakkula"
"71","2019-11",NA,NA,NA,"aakkula"
"72","2019-12",NA,NA,NA,"aakkula"
"73","2014-01",NA,NA,NA,"ala-pispala"
"74","2014-02",3.346,2.345,6.837,"ala-pispala"
"75","2014-03",2.731,2.353,6.984,"ala-pispala"
"76","2014-04",4.395,2.493,7.935,"ala-pispala"
"77","2014-05",7.478,4.813,10.376,"ala-pispala"
"78","2014-06",10.795,8.396,11.949,"ala-pispala"
"79","2014-07",12.334,8.614,16.972,"ala-pispala"
"80","2014-08",10.715,7.121,18.034,"ala-pispala"
"81","2014-09",8.74,7.589,11.218,"ala-pispala"
"82","2014-10",7.618,7.07,8.307,"ala-pispala"
